board temp volt area lowerTick upperTick lowerTime upperTime
Xenon_Bare 160 500 5.477261954206423 5103 6381 5.351479272326184e-06 0.0001331514807658093
Xenon_Bare 160 250 3.6180442985507764 5107 6382 5.747250658303768e-06 0.00013324725214828103
Xenon_Bare 160 0 -0.6860160280495076 5151 6227 1.015019615561495e-05 0.00011775019741303885
Xenon_Bare 160 -250 -4.162537753164989 5079 6421 2.947842253911253e-06 0.00013714784382218545
Xenon_Bare 160 -500 -4.794300936634289 5079 6400 2.9503772068857566e-06 0.00013505037875061906
Xenon_Bare 202 500 5.106596044258846 5102 6386 5.252329224698642e-06 0.00013365233072519338
Xenon_Bare 202 250 2.944336100438864 5109 6420 5.952128294635293e-06 0.00013705212982668253
Xenon_Bare 202 0 -0.6094555750401246 5188 6231 1.3847896831148133e-05 0.00011814789805000787
Xenon_Bare 202 -250 -4.617631176549938 5080 6363 3.050202273210181e-06 0.00013135020377253638
Xenon_Bare 202 -500 -5.21799571597077 5080 6376 3.05003948567478e-06 0.00013265004100019293
Xenon_Bare 253 500 6.09759370232607 5096 6405 4.647194472203905e-06 0.00013554719600191383
Xenon_Bare 253 250 3.8449634465368003 5104 6408 5.449756317246826e-06 0.0001358497578411138
Xenon_Bare 253 0 -1.8244748829623365 5078 6300 2.8516516387043073e-06 0.00012505165306674531
Xenon_Bare 253 -250 -5.290821946151138 5079 6396 2.949353291997554e-06 0.00013464935483105652
Xenon_Bare 253 -500 -5.881540862946989 5079 6368 2.9474770313743487e-06 0.00013184747853771218
Xenon_Bare 297 500 11.566791867489055 5091 6404 4.150385333216367e-06 0.0001354503868676007
Xenon_Bare 297 250 7.646939610638521 5096 6423 4.652427428577825e-06 0.00013735242897932288
Xenon_Bare 297 0 -4.583105811388842 5079 6367 2.949723748654793e-06 0.00013174972525382408
Xenon_Bare 297 -250 -13.994985240976856 5080 6387 3.0495830404749486e-06 0.00013374958456784778
Xenon_Bare 297 -500 -15.543018431910946 5080 6403 3.051421250106666e-06 0.0001353514227961773
Xenon_Bare 78 500 1.155121028820314 5109 6268 5.949147345060253e-06 0.00012184914869947884
Xenon_Bare 78 250 0.7287957570301414 5110 6203 6.049940678806742e-06 0.0001153499419560971
Xenon_Bare 78 0 -0.05032249601977432 6129 6852 0.00010795251204525736 0.00018025251289016206
Xenon_Bare 78 -250 -0.3637123374115188 5190 6431 1.405160490374034e-05 0.00013815160635398483
Xenon_Bare 78 -500 -0.47029142758555814 5187 6994 1.3752115563123996e-05 0.00019445211767480145
Xenon_Bare 87 500 2.011654600048947 5109 6375 5.950981837978077e-06 0.0001325509833174378
Xenon_Bare 87 250 1.4042821467130744 5110 6285 6.047654378523462e-06 0.00012354765575163976
Xenon_Bare 87 0 -0.5510294090320924 6490 10873 0.00014405180692604881 0.0005823518120480653
Xenon_Bare 87 -250 -0.8100572651271053 5145 6529 9.549849959368148e-06 0.00014794985157672385
Xenon_Bare 87 -500 -0.9265191944091009 5142 6432 9.250598769460103e-06 0.00013825060027696653
